vertices,nanoseconds_sorted,nanoseconds_random,nanoseconds_inverted
25,136918,92724,88540
25,84510,88935,85982
25,100961,2.39788e+07,94547
25,88160,86776,103783
25,80088,85126,87448
27,99446,101295,109560
27,99628,100672,100889
27,98335,103004,101131
27,98433,101290,102672
27,98489,101183,98746
27,98793,103251,99069
27,207489,100851,101436
27,99700,99718,114348
27,99947,99850,101420
27,101841,101738,101760
27,100595,102457,101139
27,100883,102792,103287
27,100311,103593,98444
27,99743,100399,102275
27,99965,101766,105844
27,98763,101728,98816
27,105793,98934,99723
27,98541,102053,99127
27,96620,99123,99924
27,99215,99844,100701
27,98588,102512,99078
27,97152,97691,98602
27,99129,101324,101509
27,99574,100066,99592
27,97714,99116,98257
27,97521,100280,98871
27,99026,102828,100348
27,98253,98425,101092
27,99089,100873,102531
27,98497,102519,102867
27,96467,102088,97817
27,98340,95127,99411
27,96814,98653,103717
27,97859,98742,100333
27,95850,97987,101128
27,98659,100740,98458
27,99482,100834,99286
27,97163,100947,102356
27,97695,102357,97421
27,98403,98787,99511
27,102601,123701,99292
27,100611,100602,141516
27,101729,103912,101859
27,112943,101767,103328
27,113808,141859,109805
27,113364,109746,110511
27,91568,111680,96455
27,100162,98152,101193
27,102184,102588,106261
27,93555,88587,100236
27,123556,138986,105191
27,100543,102365,102190
27,101647,106200,104019
27,102207,105412,105556
27,101639,101805,104750
27,64673,107726,71765
27,64460,71355,73482
27,63982,70806,69136
27,63870,71230,70697
27,63812,70180,68890
27,63172,70038,72050
27,63539,70209,71161
27,63767,72252,70406
27,116461,70089,103438
27,100135,99213,99536
27,99781,100677,101783
27,99032,102790,102498
27,99980,103038,100169
27,100953,149630,101394
27,100217,103498,101685
27,98864,100667,232849
27,100956,110949,101908
27,99528,101602,97958
27,96429,101680,99805
27,97746,101375,98423
27,95909,97078,99458
27,97949,100811,100573
27,88819,99356,100992
27,97031,97385,98050
27,91053,95404,95457
27,96357,99371,97333
27,104835,108726,105570
27,114761,106029,72039
27,63896,72588,71938
27,63920,70067,69260
27,63720,70892,87240
27,6.66772e+06,101630,103871
27,116475,137899,121766
27,99958,109979,102808
27,105373,102799,106071
27,101575,100986,103618
27,103479,103808,107812
27,100607,100115,138046
27,97108,97099,97670
27,99025,101288,100773
27,1.45936e+07,103178,117488
27,114030,104898,108995
27,99318,101614,99622
27,98615,101227,101491
27,98881,103111,99881
29,119605,576404,126457
29,117428,123250,148347
29,109692,190293,117773
29,109848,117836,117715
29,109428,116092,117158
29,109840,117478,117075
29,110042,115094,116451
29,109854,114777,165257
