clients,factories,routes,nanoseconds
14,13,351,112871
14,13,351,107027
14,13,351,99892
14,13,351,97520
14,13,351,100436
14,13,351,101698
14,13,351,98203
14,13,351,99389
14,13,351,101481
14,13,351,110731
14,13,351,102249
14,13,351,106128
14,13,351,97738
14,13,351,98217
14,13,351,96501
14,13,351,103990
14,13,351,102344
14,13,351,100175
14,13,351,101381
14,13,351,101104
14,13,351,101682
14,13,351,98771
14,13,351,86099
14,13,351,71477
14,13,351,71090
14,13,351,71573
14,13,351,136112
14,13,351,109230
15,14,406,117852
15,14,406,114201
15,14,406,112472
15,14,406,98705
15,14,406,119251
15,14,406,119791
15,14,406,139695
15,14,406,142133
15,14,406,133669
15,14,406,125705
15,14,406,126330
15,14,406,115514
15,14,406,122378
15,14,406,121590
15,14,406,121385
15,14,406,120015
15,14,406,120099
15,14,406,125165
15,14,406,118096
15,14,406,117323
15,14,406,116664
15,14,406,113556
15,14,406,120580
15,14,406,121255
15,14,406,120273
15,14,406,119380
15,14,406,116785
15,14,406,117624
15,14,406,114553
15,14,406,122148
15,14,406,120455
15,14,406,116326
15,14,406,95284
15,14,406,83117
15,14,406,94517
15,14,406,88076
15,14,406,86905
15,14,406,86893
15,14,406,106027
15,14,406,87024
15,14,406,86542
15,14,406,86260
15,14,406,86984
15,14,406,85507
15,14,406,94232
15,14,406,114878
15,14,406,112608
15,14,406,117382
15,14,406,85717
15,14,406,107839
15,14,406,129074
15,14,406,93298
15,14,406,89659
15,14,406,87742
15,14,406,139116
15,14,406,130448
15,14,406,132608
15,14,406,142369
15,14,406,96041
15,14,406,87520
15,14,406,85338
15,14,406,105819
15,14,406,86433
15,14,406,82720
15,14,406,84347
15,14,406,82111
15,14,406,82836
15,14,406,82727
15,14,406,82566
15,14,406,82699
15,14,406,82272
15,14,406,83241
15,14,406,82331
15,14,406,82021
15,14,406,82868
15,14,406,81818
15,14,406,81796
15,14,406,83379
15,14,406,104162
15,14,406,86913
15,14,406,82956
15,14,406,84273
15,14,406,82724
15,14,406,81844
15,14,406,81079
15,14,406,166887
15,14,406,93127
15,14,406,127214
15,14,406,119792
15,14,406,122642
15,14,406,128113
15,14,406,124861
15,14,406,126399
15,14,406,128268
15,14,406,114090
15,14,406,109822
15,14,406,151116
15,14,406,142970
15,14,406,129774
15,14,406,137322
16,15,465,153382
16,15,465,149921
16,15,465,159394
16,15,465,138038
16,15,465,135348
16,15,465,131210
16,15,465,130688
16,15,465,127378
16,15,465,131840
16,15,465,136624
16,15,465,101413
16,15,465,96085
16,15,465,97713
16,15,465,109834
16,15,465,97045
16,15,465,94959
16,15,465,95540
16,15,465,96715
16,15,465,96065
16,15,465,99095
16,15,465,97925
16,15,465,133393
16,15,465,136449
16,15,465,135517
16,15,465,137544
16,15,465,137575
16,15,465,135521
16,15,465,134080
16,15,465,131379
16,15,465,131002
16,15,465,139026
16,15,465,132369
16,15,465,157084
16,15,465,130425
16,15,465,179365
16,15,465,145080
16,15,465,144701
16,15,465,186161
16,15,465,131253
16,15,465,130127
16,15,465,127781
16,15,465,128405
16,15,465,141329
16,15,465,128065
16,15,465,130523
16,15,465,128309
16,15,465,130091
16,15,465,131995
16,15,465,132248
16,15,465,130237
16,15,465,128569
16,15,465,131766
16,15,465,129269
16,15,465,131771
16,15,465,130899
16,15,465,130291
16,15,465,127481
16,15,465,128978
16,15,465,129782
16,15,465,129901
16,15,465,146464
16,15,465,129624
16,15,465,140443
16,15,465,129364
16,15,465,131193
16,15,465,129285
16,15,465,131631
16,15,465,134562
16,15,465,129882
16,15,465,136187
16,15,465,129766
16,15,465,129148
16,15,465,128994
16,15,465,130666
16,15,465,133303
16,15,465,134005
16,15,465,130619
16,15,465,140294
16,15,465,129799
16,15,465,127962
16,15,465,128248
16,15,465,128352
16,15,465,130841
16,15,465,131679
16,15,465,130098
16,15,465,131631
16,15,465,137430
16,15,465,173017
16,15,465,137359
16,15,465,129381
16,15,465,128532
16,15,465,137522
16,15,465,295481
16,15,465,146758
16,15,465,137101
16,15,465,129147
16,15,465,143133
16,15,465,143667
16,15,465,134072
16,15,465,131548
17,16,528,149845
17,16,528,165308
17,16,528,153654
17,16,528,151488
17,16,528,152309
17,16,528,147275
17,16,528,151939
17,16,528,142807
17,16,528,150433
17,16,528,221529
17,16,528,148296
17,16,528,155665
17,16,528,162098
17,16,528,154498
17,16,528,287082
17,16,528,161031
17,16,528,155978
17,16,528,154207
17,16,528,164151
17,16,528,149070
17,16,528,165724
17,16,528,160319
17,16,528,156378
17,16,528,147274
17,16,528,150298
17,16,528,155273
17,16,528,148624
17,16,528,144863
17,16,528,152831
17,16,528,290015
17,16,528,156790
17,16,528,191151
17,16,528,172178
17,16,528,163657
17,16,528,156896
17,16,528,166206
17,16,528,157799
17,16,528,165631
17,16,528,155457
17,16,528,152241
17,16,528,155126
17,16,528,157841
17,16,528,154237
17,16,528,151147
17,16,528,148552
17,16,528,155274
17,16,528,152019
17,16,528,149900
17,16,528,151774
17,16,528,150291
17,16,528,149110
17,16,528,152340
17,16,528,156622
17,16,528,151402
17,16,528,185471
17,16,528,150243
17,16,528,150158
17,16,528,160999
17,16,528,154642
17,16,528,146256
17,16,528,149412
17,16,528,154567
17,16,528,148030
17,16,528,150752
17,16,528,152621
17,16,528,146022
17,16,528,181010
17,16,528,165598
17,16,528,145429
17,16,528,165519
17,16,528,149228
17,16,528,146965
17,16,528,151185
17,16,528,150097
17,16,528,153796
17,16,528,156722
17,16,528,151263
17,16,528,150792
17,16,528,149343
17,16,528,190297
17,16,528,154358
17,16,528,154946
17,16,528,217426
17,16,528,154116
17,16,528,268330
17,16,528,172593
17,16,528,161354
17,16,528,166130
17,16,528,190616
17,16,528,183637
17,16,528,188926
17,16,528,158113
17,16,528,162721
17,16,528,162202
17,16,528,157294
17,16,528,151085
17,16,528,148446
17,16,528,148239
17,16,528,151916
17,16,528,146446
18,17,595,181720
18,17,595,170127
18,17,595,177176
18,17,595,174712
18,17,595,177066
18,17,595,175991
18,17,595,178663
18,17,595,176120
18,17,595,173682
18,17,595,175752
18,17,595,176339
18,17,595,177357
18,17,595,178359
18,17,595,178475
18,17,595,173980
18,17,595,174266
18,17,595,203921
18,17,595,171329
18,17,595,166347
18,17,595,180422
18,17,595,168938
18,17,595,170333
18,17,595,169858
18,17,595,172509
18,17,595,174839
18,17,595,171251
18,17,595,169148
18,17,595,172673
18,17,595,168125
18,17,595,172463
18,17,595,170793
18,17,595,169614
18,17,595,167709
18,17,595,168666
18,17,595,174559
18,17,595,170437
18,17,595,170939
18,17,595,170483
18,17,595,195771
18,17,595,178254
18,17,595,197096
18,17,595,187193
18,17,595,180713
18,17,595,176671
18,17,595,180242
18,17,595,169544
18,17,595,164347
18,17,595,180638
18,17,595,177656
18,17,595,173436
18,17,595,168123
18,17,595,165447
18,17,595,167539
18,17,595,166125
18,17,595,169156
18,17,595,172376
18,17,595,212836
18,17,595,178200
18,17,595,174380
18,17,595,171053
18,17,595,167800
18,17,595,166927
18,17,595,172509
18,17,595,177072
18,17,595,170854
18,17,595,169853
18,17,595,172117
18,17,595,171722
18,17,595,172522
18,17,595,165087
18,17,595,162822
18,17,595,168825
18,17,595,164808
18,17,595,159441
18,17,595,173155
18,17,595,171576
18,17,595,172784
18,17,595,174471
18,17,595,174436
18,17,595,179352
18,17,595,174482
18,17,595,338531
18,17,595,182205
18,17,595,186264
18,17,595,171507
18,17,595,180703
18,17,595,189242
18,17,595,183462
18,17,595,175368
18,17,595,177079
18,17,595,169906
18,17,595,173655
18,17,595,322472
