clients,factories,routes,nanoseconds
51,49,120,163600
51,49,120,74177
51,49,120,73273
51,49,120,267149
51,49,120,74185
51,49,120,78500
51,49,120,76753
51,49,120,75486
51,49,120,75471
51,49,120,75799
51,49,120,75882
51,49,120,91891
51,49,120,96106
51,49,120,76920
51,49,120,75711
51,49,120,74175
51,49,120,69394
51,49,120,76280
51,49,120,94212
51,49,120,76878
51,49,120,74219
51,49,120,74760
51,49,120,71888
51,49,120,77234
51,49,120,77033
51,49,120,80778
51,49,120,72843
51,49,120,73754
51,49,120,71465
51,49,120,73823
51,49,120,70426
51,49,120,69336
51,49,120,75979
51,49,120,69138
51,49,121,76828
51,49,121,73941
51,49,121,71712
51,49,121,70289
51,49,121,87702
51,49,121,72506
51,49,121,72783
51,49,121,77278
51,49,121,74288
51,49,121,77481
51,49,121,71401
51,49,121,74318
51,49,121,72199
51,49,121,72297
51,49,121,71601
51,49,121,69213
51,49,121,75490
51,49,121,69335
51,49,121,70129
51,49,121,79173
51,49,121,71114
51,49,121,70716
51,49,121,73337
51,49,121,76256
51,49,121,73802
51,49,121,71218
51,49,121,74200
51,49,121,72122
51,49,121,76751
51,49,121,73261
51,49,121,76151
51,49,121,72777
51,49,121,70362
51,49,121,75040
51,49,121,70122
51,49,121,96926
51,49,121,76556
51,49,121,106853
51,49,121,78780
51,49,121,130948
51,49,121,101362
51,49,121,86012
51,49,121,80937
51,49,121,146025
51,49,121,103651
51,49,121,75078
51,49,121,83568
51,49,121,73915
51,49,121,76119
51,49,121,74296
51,49,122,77443
51,49,122,61191
51,49,122,71398
51,49,122,73381
51,49,122,71968
51,49,122,64232
51,49,122,78418
51,49,122,73680
51,49,122,68712
51,49,122,59827
51,49,122,74674
51,49,122,75049
51,49,122,62838
51,49,122,59876
51,49,122,81657
51,49,122,76226
51,49,122,73823
51,49,122,73688
51,49,122,75557
51,49,122,71678
51,49,122,74118
51,49,122,74919
51,49,122,69579
51,49,122,74094
51,49,122,75352
51,49,122,69544
51,49,122,67736
51,49,122,74854
51,49,122,77220
51,49,122,78078
51,49,122,97098
51,49,122,79652
51,49,122,67705
51,49,122,58028
51,49,122,63619
51,49,122,63588
51,49,122,72781
51,49,122,69227
51,49,122,76237
51,49,122,74429
51,49,122,71284
51,49,122,68631
51,49,122,72472
51,49,122,71487
51,49,122,77663
51,49,122,75851
51,49,122,82672
51,49,122,71526
51,49,122,73864
51,49,122,72272
51,49,123,71136
51,49,123,68401
51,49,123,75603
51,49,123,65001
51,49,123,57662
51,49,123,70630
51,49,123,75728
51,49,123,58461
51,49,123,71073
51,49,123,73672
51,49,123,74920
51,49,123,78452
51,49,123,75371
51,49,123,103545
51,49,123,72949
51,49,123,61450
51,49,123,61137
51,49,123,66469
51,49,123,61265
51,49,123,68910
51,49,123,72420
51,49,123,65016
51,49,123,62140
51,49,123,56822
51,49,123,72970
51,49,123,71155
51,49,123,72697
51,49,123,75210
51,49,123,73892
51,49,123,95801
51,49,123,87659
51,49,123,89030
51,49,123,84627
51,49,123,79510
51,49,123,77193
51,49,123,67635
51,49,123,72590
51,49,123,64947
51,49,123,61297
51,49,123,60909
51,49,123,69821
51,49,123,72421
51,49,123,76687
51,49,123,72661
51,49,123,73834
51,49,123,78679
51,49,123,104020
51,49,123,76122
51,49,123,52769
51,49,123,108641
51,49,124,140785
51,49,124,100882
51,49,124,90557
51,49,124,108370
51,49,124,77305
51,49,124,52758
51,49,124,184398
51,49,124,54158
51,49,124,51920
51,49,124,76871
51,49,124,74341
51,49,124,56021
51,49,124,73846
51,49,124,53749
51,49,124,52544
51,49,124,47475
51,49,124,52349
51,49,124,68057
51,49,124,51705
51,49,124,50163
51,49,124,49244
51,49,124,49164
51,49,124,48928
51,49,124,49344
51,49,124,93600
51,49,124,52400
51,49,124,78178
51,49,124,76879
51,49,124,64745
51,49,124,58441
51,49,124,52189
51,49,124,50357
51,49,124,48063
51,49,124,47811
51,49,124,45449
51,49,124,48718
51,49,124,46970
51,49,124,46366
51,49,124,47691
51,49,124,54505
51,49,124,111722
51,49,124,54494
51,49,124,52902
51,49,124,46802
51,49,124,50970
51,49,124,52262
51,49,124,50148
51,49,124,115653
51,49,124,56034
51,49,124,53851
51,49,125,57756
51,49,125,62120
51,49,125,50781
51,49,125,50167
51,49,125,65073
51,49,125,49650
51,49,125,53273
51,49,125,90471
51,49,125,56958
51,49,125,50573
51,49,125,46917
51,49,125,58838
51,49,125,55984
51,49,125,51821
51,49,125,45952
51,49,125,49753
51,49,125,49872
51,49,125,49866
51,49,125,48384
51,49,125,49881
51,49,125,54351
51,49,125,48102
51,49,125,54905
51,49,125,68119
51,49,125,53435
51,49,125,52529
51,49,125,53977
51,49,125,48027
51,49,125,57777
51,49,125,53963
51,49,125,50770
51,49,125,71556
51,49,125,55580
51,49,125,52887
51,49,125,49322
51,49,125,49279
51,49,125,48621
51,49,125,48793
51,49,125,49778
51,49,125,55950
51,49,125,54201
51,49,125,54189
51,49,125,46758
51,49,125,50651
51,49,125,51641
51,49,125,48625
51,49,125,54527
51,49,125,52210
51,49,125,49707
51,49,125,47688
51,49,126,46862
51,49,126,48968
51,49,126,53730
51,49,126,46454
51,49,126,49225
51,49,126,74099
51,49,126,64327
51,49,126,51174
51,49,126,52538
51,49,126,54810
51,49,126,72069
51,49,126,96976
51,49,126,51543
51,49,126,50119
51,49,126,50390
51,49,126,72064
51,49,126,144297
51,49,126,70471
51,49,126,126262
51,49,126,109979
51,49,126,105673
51,49,126,72101
51,49,126,58602
51,49,126,71928
51,49,126,61026
51,49,126,51676
51,49,126,75470
51,49,126,67001
51,49,126,73474
51,49,126,56342
51,49,126,50162
51,49,126,50824
51,49,126,46818
51,49,126,48617
51,49,126,49551
51,49,126,55048
51,49,126,49262
51,49,126,52596
51,49,126,53591
51,49,126,58816
51,49,126,58265
51,49,126,61794
51,49,126,50843
51,49,126,52219
51,49,126,76251
51,49,126,55824
51,49,126,47866
51,49,126,49930
51,49,126,56045
51,49,126,51958
51,49,127,73037
51,49,127,74475
51,49,127,66325
51,49,127,74184
51,49,127,58278
51,49,127,57863
51,49,127,57592
51,49,127,55117
51,49,127,53255
51,49,127,51867
51,49,127,53927
51,49,127,75499
51,49,127,55151
51,49,127,50084
51,49,127,52179
51,49,127,50243
51,49,127,53012
51,49,127,56360
51,49,127,54252
51,49,127,62269
51,49,127,56114
51,49,127,52021
51,49,127,52686
51,49,127,52221
51,49,127,50385
51,49,127,95641
51,49,127,48661
51,49,127,51597
51,49,127,54908
51,49,127,51660
51,49,127,53608
51,49,127,49947
51,49,127,48473
51,49,127,51233
51,49,127,61365
51,49,127,71971
51,49,127,119823
51,49,127,77099
51,49,127,93703
51,49,127,54736
51,49,127,50746
51,49,127,55382
51,49,127,49878
51,49,127,47408
51,49,127,78310
51,49,127,50482
51,49,127,49050
51,49,127,52042
51,49,127,48586
51,49,127,47957
51,49,128,49754
51,49,128,88690
51,49,128,76811
51,49,128,74870
51,49,128,76193
51,49,128,75543
51,49,128,79632
51,49,128,73841
51,49,128,79000
51,49,128,75443
51,49,128,75446
51,49,128,77326
51,49,128,54922
51,49,128,51018
51,49,128,53787
51,49,128,48018
51,49,128,54051
51,49,128,50782
51,49,128,45499
51,49,128,48799
51,49,128,50084
51,49,128,50524
51,49,128,47175
51,49,128,49334
51,49,128,50677
51,49,128,54272
51,49,128,47524
51,49,128,49064
51,49,128,46280
51,49,128,48980
51,49,128,48788
51,49,128,47548
51,49,128,48677
